agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
Brookdale Hospital Medical Center,Integrated Center @ Bishop Walker H,,,,,,,Brooklyn,11238.0,Kings,Children & Adolescents,Community,528 Prospect Pl,718-613-6900,8/4/22,kept ringing,,,,,,,,40.6753379,-73.9589888,"[-73.9589888, 40.6753379]"
"Children of Promise, NYC","Children of Promise, NYC Wellness C",,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,Community,1842 Webster Avenue,718-461-5117,7/28/22,voicemail,,,,,,,,40.846587,-73.901273,"[-73.901273, 40.846587]"
"New Horizon Counseling Center, Inc., The",New Horizon Counseling Center West Rockaway Clinic,,,,,,,Rockaway Beach,11693.0,Queens,Children & Adolescents,Community,"88-02 Rockaway Beach Blvd,",718) 634-3461,8/4/22,yes,no,no list,,,,,,40.58750819999999,-73.8132567,"[-73.8132567, 40.58750819999999]"
Lenox Hill Hospital,Lenox Hill Hospital Psychiatric Outpatient Clinic,,,,,,,New York,10065.0,New York,Children & Adolescents,Community,,(212) 434-3365,8/4/22,yes,no,no list,,,,,,40.7640404,-73.96321089999999,"[-73.96321089999999, 40.7640404]"
Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services,,,,,,,Brooklyn,11210.0,Kings,Children & Adolescents,Community,858 E 29TH ST,(718) 758-7800,8/4/22,voicemail,,,,,,,,40.6299734,-73.9487946,"[-73.9487946, 40.6299734]"
Catholic Guardian Services,CGS Family Counseling and Wellness Center,,,,,,,Bronx,10462.0,Bronx,Children & Adolescents,Community,1990 WESTCHESTER AVE,718-792-9937,7/7/22,yes,yes,3 weeks (see notes),3.0,4.0,3.5,0.75,1.0,40.8332554,-73.8580329,"[-73.8580329, 40.8332554]"
"Sheltering Arms Children and Family Services,",Liberty Avenue Satellite,,,Y,clinical director says this location is closed (718-206-3440),,,Jamaica,11417.0,Queens,Children & Adolescents,Community,,718-847-1500,8/4/22,yes,,,,,,,,40.6833144,-73.83404929999999,"[-73.83404929999999, 40.6833144]"
"SBH Community Service Network, Inc.",Sephardic Bikur Holim Clinic,,,,,,,Brooklyn,11223.0,Kings,Children & Adolescents,Community,,(718) 787-1100,8/4/22,yes,yes,2-3 months at least,8.69,13.04,10.86,2.0,3.0,40.6050236,-73.9719375,"[-73.9719375, 40.6050236]"
C McCloskey SHFC dba C McCloskey Comm Svcs,McCloskey Cares,,,,,,,Bronx,10451.0,Bronx,Children & Adolescents,Community,529 COURTLANDT AVE,718-993-7700,8/4/22,voicemail,,,,,,,,40.816126,-73.91999129999999,"[-73.91999129999999, 40.816126]"
BronxCare Health System,BronxCare Child Study Center,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,Community,1276 Fulton Avenue,(718) 901-6888,7/28/22,voicemail,,,,,,,,40.8315806,-73.9023625,"[-73.9023625, 40.8315806]"
"AthenaPsych, LLC",AthenaPsych Counseling Center,,,,,,,Bronx,10455.0,Bronx,Children & Adolescents,Community,2825 THIRD AVE STE 402,718-520-8000,7/13/22,yes,yes,week 22nd or 25th,1.5,1.5,1.5,0.38,0.38,40.81578510000001,-73.9187855,"[-73.9187855, 40.81578510000001]"
"Ohel Children's Home & Family Services, Inc.",Ohel Regional Family Center,,,,,,,Far Rockaway,11691.0,Queens,Children & Adolescents,Community,156 Beach 9th St #2,(718) 686-3149,8/4/22,voicemail,,,,,,,,40.5958861,-73.7436025,"[-73.7436025, 40.5958861]"
"The Child Center of NY, Inc.",Child Center of NY @ Forestdale,,,,,,,Forest Hills,11375.0,Queens,Children & Adolescents,Community,,718-263-0740,8/4/22,voicemail ,,,,,,,,40.7292228,-73.84230869999999,"[-73.84230869999999, 40.7292228]"
New York Psychiatric Institute,OnTrackNY-WHCS,,,,,,,New York,10032.0,New York,Adolescents,Community,1051 Riverside Drive,646-774-8425,8/4/22,voicemail,,,,,,,,40.8426267,-73.94455549999999,"[-73.94455549999999, 40.8426267]"
"New Horizon Counseling Center, Inc., The",New Horizon Counseling Center Arverne Clinic,,,,,,,Arverne,11692.0,Queens,Children & Adolescents,Community,6603 BEACH CHANNEL DR,718-471-8671,8/4/22,yes,no,no list,,,,,,40.5927328,-73.7954319,"[-73.7954319, 40.5927328]"
Astor Services for Children & Families,Astor Clinic Treatment Program - Tilden,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,Community,750 TILDEN ST,(718) 231-3400,7/7/2022,yes,no,no list,,,,,,40.8766745,-73.862719,"[-73.862719, 40.8766745]"
Astor Services for Children & Families,"Astor Services @ MS 80, The Isabel Rooney School",,,,,,,Bronx,10467.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8768024,-73.8813704,"[-73.8813704, 40.8768024]"
Astor Services for Children & Families,Eagle Academy Satellite Clinic,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.845289,-73.8972161,"[-73.8972161, 40.845289]"
Astor Services for Children & Families,Astor @ PS X595,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8462893,-73.8893633,"[-73.8893633, 40.8462893]"
Astor Services for Children & Families,Astor Services @ MS 328,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8279,-73.9141928,"[-73.9141928, 40.8279]"
Astor Services for Children & Families,Astor at PS X61/IS 190,,,,,,,Bronx,10460.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8363733,-73.8927625,"[-73.8927625, 40.8363733]"
Astor Services for Children & Families,Astor at Peace and Diversity Academy,,,,,,,Bronx,10459.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8275229,-73.89707829999999,"[-73.89707829999999, 40.8275229]"
Astor Services for Children & Families,Astor@ x45 Thomas C. Giordano Middle School,,,,,,,Bronx,10458.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8583625,-73.8870429,"[-73.8870429, 40.8583625]"
Astor Services for Children & Families,East Bronx Academy for the Future,,,,,,,Bronx,10460.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8368071,-73.8877096,"[-73.8877096, 40.8368071]"
Astor Services for Children & Families,Fanny Lou Hamer Middle School,,,,,,,Bronx,10460.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8312555,-73.8866072,"[-73.8866072, 40.8312555]"
Astor Services for Children & Families,Hunts Point Middle School X424,,,,,,,Bronx,10474.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8155564,-73.8856083,"[-73.8856083, 40.8155564]"
Astor Services for Children & Families,IS 131 Albert Einstein School,,,,,,,Bronx,10473.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8232367,-73.85985509999999,"[-73.85985509999999, 40.8232367]"
Astor Services for Children & Families,J.H.S. 118,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8485715,-73.892395,"[-73.892395, 40.8485715]"
Astor Services for Children & Families,Jill Chaifitz Transfer High School,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8186399,-73.9053941,"[-73.9053941, 40.8186399]"
"Union Settlement Association, Inc.",Union Carver Early Childhood Counseling,,,,,,,New York,10029.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7932388,-73.9494232,"[-73.9494232, 40.7932388]"
Astor Services for Children & Families,M.S. 390,,,,,,,Bronx,10453.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.854392,-73.9129267,"[-73.9129267, 40.854392]"
Astor Services for Children & Families,M.S. 391,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8546548,-73.8970362,"[-73.8970362, 40.8546548]"
Astor Services for Children & Families,Morris Academy for Collaborative St,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8273033,-73.9045097,"[-73.9045097, 40.8273033]"
Astor Services for Children & Families,P.S. 154 Jonathan D. Hyatt,,,,,,,Bronx,10454.0,Bronx,Children,School,,,,,,,,,,,,40.8082435,-73.92574069999999,"[-73.92574069999999, 40.8082435]"
Astor Services for Children & Families,P.S. 333/335,,,,,,,Bronx,10459.0,Bronx,Children,School,,,,,,,,,,,,40.82010229999999,-73.89809079999999,"[-73.89809079999999, 40.82010229999999]"
Astor Services for Children & Families,P.S. 42,,,,,,,Bronx,10457.0,Bronx,Children,School,,,,,,,,,,,,40.8386133,-73.9030516,"[-73.9030516, 40.8386133]"
Astor Services for Children & Families,School Satellite Clinic MS 22 and MS 323,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8323844,-73.9142127,"[-73.9142127, 40.8323844]"
"Union Settlement Association, Inc.",Union Johnson Early Childhood Counseling,,,,,,,New York,10029.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7967956,-73.9422736,"[-73.9422736, 40.7967956]"
"Union Settlement Association, Inc.",Union Washington Early Childhood Counseling,,,,,,,New York,10029.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7856616,-73.9469577,"[-73.9469577, 40.7856616]"
The New York Foundling,The New York Foundling at Pathways College Prep,,,,,,,Saint Albans,11412.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7067222,-73.75503619999999,"[-73.75503619999999, 40.7067222]"
The New York Foundling,Satellite Clinic at Herbert H. Lehm,,,,,,,Bronx,10461.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8398166,-73.83795490000001,"[-73.83795490000001, 40.8398166]"
The New York Foundling,The New York Foundling @ Wadleigh &,,,,,,,New York,10026.0,New York,Adolescents,School,,,,,,,,,,,,40.8025843,-73.954437,"[-73.954437, 40.8025843]"
Jewish Board of Family & Children's Services,Bronx Studio School for Writers and Artists,,,,,,,Bronx,10459.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8203827,-73.8930381,"[-73.8930381, 40.8203827]"
Astor Services for Children & Families,Urban Campus,,,,,,,Bronx,10465.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8269794,-73.8182885,"[-73.8182885, 40.8269794]"
Jewish Board of Family & Children's Services,Lehman High School of American Studies Satellite,,,,,,,Bronx,10468.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8746796,-73.8950763,"[-73.8950763, 40.8746796]"
Jewish Board of Family & Children's Services,The Bronx High School of Science Satellite,,,,,,,Bronx,10468.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8785082,-73.8908792,"[-73.8908792, 40.8785082]"
Jewish Board of Family & Children's Services,P.S. 7 Satellite,,,,,,,Bronx,10463.0,Bronx,Children,School,,,,,,,,,,,,40.8817779,-73.9059814,"[-73.9059814, 40.8817779]"
Montefiore Medical Center,PS 8 School Program,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8722182,-73.8834241,"[-73.8834241, 40.8722182]"
Montefiore Medical Center,PS/MS 04,,,,,,,Bronx,10457.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8411563,-73.8983267,"[-73.8983267, 40.8411563]"
Montefiore Medical Center,John P. Sousa I.S. 142 Satellite,,,,,,,Bronx,10466.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8861491,-73.8404879,"[-73.8404879, 40.8861491]"
Center for Hearing and Communication,Center for Hearing and Communication,Y,children with hearing impairment,,,,,New York,10004.0,New York,Children & Adolescents,Community,50 BROADWAY,917-305-7700,,voicemail,,,,,,,,40.7063491,-74.0125217,"[-74.0125217, 40.7063491]"
"RMHA, Inc. dba Mosaic Mental Health",In-Tech Academy (M.S./H.S. 368),,,,,,,Bronx,10463.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8790763,-73.91129529999999,"[-73.91129529999999, 40.8790763]"
"RMHA, Inc. dba Mosaic Mental Health",Riverdale Mental Health at Rosalyn Yalow Charter School,,,,,,,Bronx,10452.0,Bronx,Children,School,,,,,,,,,,,,40.83676639999999,-73.9174984,"[-73.9174984, 40.83676639999999]"
St. Barnabas Hospital,P.S. 205,,,,,,,Bronx,10458.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8557006,-73.8813704,"[-73.8813704, 40.8557006]"
St. Barnabas Hospital,P.S. 32,,,,,,,Bronx,10458.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8518895,-73.88596410000001,"[-73.88596410000001, 40.8518895]"
St. Barnabas Hospital,P.S. 85,,,,,,,Bronx,10458.0,Bronx,Children,School,,,,,,,,,,,,40.8587862,-73.8948755,"[-73.8948755, 40.8587862]"
"The Child Center of NY, Inc.",The Child Center Child Care,,,,,,,Corona,11368.0,Queens,Children & Adolescents,School,3410 108TH ST,347-287-0172,,,,,,,,,,40.7558509,-73.8608957,"[-73.8608957, 40.7558509]"
"The Child Center of NY, Inc.",The Child Center of NY at John Bown,,,,,,,Flushing,11367.0,Queens,Adolescents,School,,,,,,,,,,,,40.7383491,-73.82398640000001,"[-73.82398640000001, 40.7383491]"
The Children's Aid Society,Children's Aid Society at I.S. 219 New Venture School,,,,,,,Bronx,10456.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8338446,-73.9039243,"[-73.9039243, 40.8338446]"
Visiting Nurse Service of NY Home Care II,VNS FRIENDS Clinic Satellite at P.S. 369/179,,,,,,,Bronx,10454.0,Bronx,Children,School,,,,,,,,,,,,40.8091409,-73.92013759999999,"[-73.92013759999999, 40.8091409]"
"Brooklyn Center For Psychotherapy, Inc.",BCP at Frederick Douglass Academy IV/Brooklyn Academy of Glo,,,,,,,Brooklyn,11221.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6916202,-73.9332768,"[-73.9332768, 40.6916202]"
"AIDS Center of Queens County, Inc.",ACQC Jamaica Clinic Satellite,,,Y,receptionist said they don't see adolescents for mental health therapy,,,Jamaica,11432.0,Queens,Adolescents,Community,,,8/2/22,yes,,,,,,,,40.7055779,-73.7992175,"[-73.7992175, 40.7055779]"
"Brooklyn Center For Psychotherapy, Inc.",Brooklyn Ctr for Psychotherapy @ PS 067 Charles A. Dorsey,,,,,,,Brooklyn,11205.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6951863,-73.97767689999999,"[-73.97767689999999, 40.6951863]"
"Brooklyn Center For Psychotherapy, Inc.",M.S. 246 School Satellite,,,,,,,Brooklyn,11226.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6481939,-73.9534785,"[-73.9534785, 40.6481939]"
"Brooklyn Center For Psychotherapy, Inc.",P.S./I.S. 327 School Satellite,,,,,,,Brooklyn,11212.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6682057,-73.9120378,"[-73.9120378, 40.6682057]"
"AIDS Center of Queens County, Inc.",ACQC Woodside Satellite,,,Y,receptionist said they don't see adolescents for mental health therapy,,,Woodside,11377.0,Queens,Adolescents,Community,,,8/2/22,yes,,,,,,,,40.7451479,-73.9028941,"[-73.9028941, 40.7451479]"
"Brooklyn Center for Families in Crisis, Inc.",P.S. 139 BCFC Satellite Mental Heal,,,,,,,Brooklyn,11226.0,Kings,Children,School,,,,,,,,,,,,40.6413592,-73.9657847,"[-73.9657847, 40.6413592]"
C.C.M.S.,CCM/School Based Mental Health @ P.S. 316/M.S. 353,,,,,,,Brooklyn,11238.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6745299,-73.9609174,"[-73.9609174, 40.6745299]"
Community Association of Progressive Dominica,Audubon Ballroom Family Center,,,,,,,New York,10032.0,New York,Children & Adolescents,Community,"3940 BROADWAY FL 2, NEW YORK, NY, 10032",212-781-5500,,yes,no,no list,,,,,,40.8393296,-73.9406691,"[-73.9406691, 40.8393296]"
"Institute for Community Living, Inc.",Highland Park Center - PS 13,,,,,,,Brooklyn,11207.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6637837,-73.89325869999999,"[-73.89325869999999, 40.6637837]"
"Interborough Develop & Consultation Ctr, Inc.",The Curtis Estabrook School PS 272,,,,,,,Brooklyn,11236.0,Kings,Children,School,,,,,,,,,,,,40.6356012,-73.88645520000001,"[-73.88645520000001, 40.6356012]"
"Interborough Develop & Consultation Ctr, Inc.",Canarsie High School Satellite,,,,,,,Brooklyn,11236.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.640443,-73.8987798,"[-73.8987798, 40.640443]"
"Interborough Develop & Consultation Ctr, Inc.",Ebbets Field Middle School,,,,,,,Brooklyn,11225.0,Kings,Adolescents,School,,,,,,,,,,,,40.6648721,-73.9595858,"[-73.9595858, 40.6648721]"
"Interborough Develop & Consultation Ctr, Inc.",IS 285 Satellite,,,,,,,Brooklyn,11203.0,Kings,Adolescents,School,,,,,,,,,,,,40.6473935,-73.9206887,"[-73.9206887, 40.6473935]"
"Interborough Develop & Consultation Ctr, Inc.",Interborough @ PS 158 Warwick,,,,,,,Brooklyn,11207.0,Kings,Children,School,,,,,,,,,,,,40.6725442,-73.8851372,"[-73.8851372, 40.6725442]"
"Interborough Develop & Consultation Ctr, Inc.",KIPP AMP Charter School,,,,,,,Brooklyn,11213.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6723193,-73.9372221,"[-73.9372221, 40.6723193]"
"Interborough Develop & Consultation Ctr, Inc.",La Cima Charter School,,,,,,,Brooklyn,11221.0,Kings,Children,School,,,,,,,,,,,,40.6878785,-73.93222279999999,"[-73.93222279999999, 40.6878785]"
"Interborough Develop & Consultation Ctr, Inc.",PS 12-MS 484,,,,,,,Brooklyn,11233.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6730157,-73.919862,"[-73.919862, 40.6730157]"
"Interborough Develop & Consultation Ctr, Inc.",PS 214 Michael Friedsam School,,,,,,,Brooklyn,11208.0,Kings,Children,School,,,,,,,,,,,,40.6762696,-73.86308650000001,"[-73.86308650000001, 40.6762696]"
"Interborough Develop & Consultation Ctr, Inc.",Tilden High School Satellite,,,,,,,Brooklyn,11203.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6478943,-73.9228473,"[-73.9228473, 40.6478943]"
"Interborough Develop & Consultation Ctr, Inc.",UAAAL / PS20 Clinton Hill School Satellite,,,,,,,Brooklyn,11205.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6912212,-73.9712066,"[-73.9712066, 40.6912212]"
"Interborough Develop & Consultation Ctr, Inc.",Interborough Wellness Center @ Young Writers/Spring Creek Ca,,,,,,,Brooklyn,11208.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6572453,-73.8740662,"[-73.8740662, 40.6572453]"
"Interborough Develop & Consultation Ctr, Inc.",Winthrop IS 232 Satellite,,,,,,,Brooklyn,11203.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6586846,-73.9286824,"[-73.9286824, 40.6586846]"
"Interborough Develop & Consultation Ctr, Inc.",Franklin Delano Roosevelt High Scho,,,,,,,Brooklyn,11204.0,Kings,Adolescents,School,,,,,,,,,,,,40.6195067,-73.9859414,"[-73.9859414, 40.6195067]"
"Interborough Develop & Consultation Ctr, Inc.",Academy of Urban Planning,,,,,,,Brooklyn,11237.0,Kings,Adolescents,School,,,,,,,,,,,,40.6967365,-73.9120081,"[-73.9120081, 40.6967365]"
"Interborough Develop & Consultation Ctr, Inc.","I.S. 349, The School of Math, Science and Technology",,,,,,,Brooklyn,11221.0,Kings,Adolescents,School,,,,,,,,,,,,40.7012793,-73.9276237,"[-73.9276237, 40.7012793]"
"Interborough Develop & Consultation Ctr, Inc.",Interborough @ IS 318 - Eugenio Mar,,,,,,,Brooklyn,11206.0,Kings,Adolescents,School,,,,,,,,,,,,40.7031073,-73.94833539999999,"[-73.94833539999999, 40.7031073]"
"Interborough Develop & Consultation Ctr, Inc.",Roland Hayes School,,,,,,,Brooklyn,11221.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6957854,-73.915361,"[-73.915361, 40.6957854]"
"Interborough Develop & Consultation Ctr, Inc.",WIN I.S. 49,,,,,,,Brooklyn,11206.0,Kings,Children,School,,,,,,,,,,,,40.709729,-73.9443861,"[-73.9443861, 40.709729]"
"Interborough Develop & Consultation Ctr, Inc.",The Urban Assembly Institute of Music and Art,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6973489,-73.98474759999999,"[-73.98474759999999, 40.6973489]"
"Interborough Develop & Consultation Ctr, Inc.",Young Women's Leadership School,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7050566,-73.9386916,"[-73.9386916, 40.7050566]"
"Interborough Develop & Consultation Ctr, Inc.",lnterborough @ Grover Cleveland High School,,,,,,,Ridgewood,11385.0,Queens,Adolescents,School,,,,,,,,,,,,40.7116318,-73.9091661,"[-73.9091661, 40.7116318]"
"Interborough Develop & Consultation Ctr, Inc.",Urban Assembly Inst of Math & Science for Young Women &,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6947503,-73.9876018,"[-73.9876018, 40.6947503]"
"Puerto Rican Family Institute, Inc.",Puerto Rican Family Institute Brooklyn Mental Health Clinic,,,,,,,Brooklyn,11206.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7016211,-73.94163209999999,"[-73.94163209999999, 40.7016211]"
Jewish Board of Family & Children's Services,Beth Jacob of Boro Park Yeshiva,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6358703,-73.98825190000001,"[-73.98825190000001, 40.6358703]"
Jewish Board of Family & Children's Services,Edward R. Murrow High School Satellite,,,,,,,Brooklyn,11230.0,Kings,Adolescents,School,,,,,,,,,,,,40.6195422,-73.9589429,"[-73.9589429, 40.6195422]"
Jewish Board of Family & Children's Services,John Dewey High School Satellite,,,,,,,Brooklyn,11223.0,Kings,Adolescents,School,,,,,,,,,,,,40.5877456,-73.9813501,"[-73.9813501, 40.5877456]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Central UTA Boys Division,,,,,,,Brooklyn,11249.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7003659,-73.9602253,"[-73.9602253, 40.7003659]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah at Care for Special N,,,,,,,Brooklyn,11223.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.608991,-73.96188599999999,"[-73.96188599999999, 40.608991]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Brocha (Karlin,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6421535,-73.99580569999999,"[-73.99580569999999, 40.6421535]"
Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescent Guidance Services at FHS,,,,,,,Brooklyn,11210.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6296317,-73.9485572,"[-73.9485572, 40.6296317]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bais Ruchel BP,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6345545,-73.9850001,"[-73.9850001, 40.6345545]"
NYU Langone Hospitals,Abraham Lincoln High School,,,,,,,Brooklyn,11235.0,Kings,Adolescents,School,,,,,,,,,,,,40.5828631,-73.9682183,"[-73.9682183, 40.5828631]"
NYU Langone Hospitals,Boys & Girls High School,,,,,,,Brooklyn,11213.0,Kings,Adolescents,School,,,,,,,,,,,,40.678496,-73.93222779999999,"[-73.93222779999999, 40.678496]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Beth Jacob of Boro Park,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6358703,-73.98825190000001,"[-73.98825190000001, 40.6358703]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya 4511,,,,,,,Brooklyn,11219.0,Kings,Children,School,,,,,,,,,,,,40.6356,-73.987751,"[-73.987751, 40.6356]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Bnos Chaya 4622,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6350473,-73.98882449999999,"[-73.98882449999999, 40.6350473]"
NYU Langone Hospitals,PS 188 Michael E Berdy,,,,,,,Brooklyn,11224.0,Kings,Children,School,,,,,,,,,,,,40.5769299,-74.0005238,"[-74.0005238, 40.5769299]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Sanz Netanya,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6370762,-73.99378329999999,"[-73.99378329999999, 40.6370762]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah @ Tiferes Elimelech,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6262211,-73.9884793,"[-73.9884793, 40.6262211]"
NYU Langone Hospitals,Sunset Park Mental Health Center - Erasmus Hall HS Satellite,,,,,,,Brooklyn,11226.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.64930349999999,-73.95774899999999,"[-73.95774899999999, 40.64930349999999]"
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah@ UTA Torah V'Yirah BP,,,,,,,Brooklyn,11219.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6291222,-73.9978323,"[-73.9978323, 40.6291222]"
NYU Langone Hospitals,Sunset Park Mental Health Center - MS 136/MS 821 Satellite,,,,,,,Brooklyn,11232.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6519928,-74.0072938,"[-74.0072938, 40.6519928]"
NYU Langone Hospitals,Sunset Park Mental Health Center - MS 88 Satellite,,,,,,,Brooklyn,11215.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6602554,-73.98805329999999,"[-73.98805329999999, 40.6602554]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 1 Satellite,,,,,,,Brooklyn,11220.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6486563,-74.0112375,"[-74.0112375, 40.6486563]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 10 Satellite,,,,,,,Brooklyn,11212.0,Kings,Children,School,,,,,,,,,,,,40.66092260000001,-73.9862168,"[-73.9862168, 40.66092260000001]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 15 Satellite,,,,,,,Brooklyn,11231.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6769361,-74.01193099999999,"[-74.01193099999999, 40.6769361]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 172 Satellite,,,,,,,Brooklyn,11232.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.657666,-74.000168,"[-74.000168, 40.657666]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 24 Satellite,,,,,,,Brooklyn,11232.0,Kings,Children,School,,,,,,,,,,,,40.6560436,-74.0079781,"[-74.0079781, 40.6560436]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 307/MS 313 Satellite,,,,,,,Brooklyn,11201.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.7017411,-73.9816714,"[-73.9816714, 40.7017411]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 329 Satellite,,,,,,,Brooklyn,11224.0,Kings,Children,School,,,,,,,,,,,,40.5730466,-73.9958467,"[-73.9958467, 40.5730466]"
NYU Langone Hospitals,Sunset Park Mental Health Center - PS 503/506 Satellite,,,,,,,Brooklyn,11220.0,Kings,Children & Adolescents,School,,,,,,,,,,,,40.6419176,-74.0190873,"[-74.0190873, 40.6419176]"
